SrNo,Country,CountryCode,RegionCode,Y1990,Y1995,Y2000,Y2005,Y2010,Y2015,Y2017
123,Italy,ITA,SEUROPE,1428221,1774953,2121690,3954785,5787898,5805325,5907461
124,Malta,MLT,SEUROPE,15077,17740,21521,24560,33008,42430,45539
125,Montenegro,MNE,SEUROPE,0,0,0,0,78507,82541,70984
126,Portugal,PRT,SEUROPE,435782,532822,651472,771184,762825,864814,880188
127,Serbia,SRB,SEUROPE,99269,630221,856763,845120,826066,807441,801903
128,Slovenia,SVN,SEUROPE,178077,174419,171018,197276,253786,237616,244790
129,Spain,ESP,SEUROPE,821605,1020067,1657285,4107226,6280065,5891208,5947106
130,Macedonia,MKD,SEUROPE,95142,109343,125665,127667,129701,130730,130972
131,Western Europe,-,WEUROPE,16250820,18342531,20467909,21890740,23604046,25601680,27869485
132,Austria,AUT,WEUROPE,793239,894893,996547,1136270,1275992,1492374,1660283
133,Belgium,BEL,WEUROPE,904528,909769,895900,882031,1119256,1252380,1268411
134,France,FRA,WEUROPE,5897267,6087993,6278718,6737600,7196481,7918382,7902783
135,Germany,DEU,WEUROPE,5936181,7464406,8992631,9402447,9812263,10220418,12165083
136,Luxembourg,LUX,WEUROPE,113795,126106,139750,150618,248888,260573,264073
137,Netherlands,NLD,WEUROPE,1182263,1346164,1556337,1736127,1832510,1996318,2056520
138,Switzerland,CHE,WEUROPE,1392282,1478829,1570756,1805437,2075182,2416394,2506394
139,LATIN AMERICA AND THE CARIBBEAN,-,LAC,7169728,6694640,6579328,7237476,8246652,9272027,9508189
140,Caribbean,-,CARR,1056555,1154700,1256547,1333118,1353589,1385784,1399747
141,Dominican Republic,DOM,CARR,291151,323381,355611,376001,393720,415564,424964
142,Haiti,HTI,CARR,19084,22458,25832,30468,35104,39529,40533
143,Jamaica,JAM,CARR,20475,22713,24952,24314,23677,23167,23332
144,Trinidad and Tobago,TTO,CARR,50666,45994,41753,44812,48226,49883,50214
145,Central America,-,CAM,1829911,1298916,1107577,1385713,1749940,2043212,2092819
146,Costa Rica,CRI,CAM,417628,364287,310946,358175,405404,411697,414214
147,El Salvador,SLV,CAM,47360,39537,31713,36019,40324,42045,42323
